name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.assets\` has a foreign key \`assets_organization_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""assets"",""type"":""table"",""schema"":""public"",""fkey_name"":""assets_organization_id_fkey"",""fkey_columns"":[14]}",unindexed_foreign_keys_public_assets_assets_organization_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.brands\` has a foreign key \`brands_organization_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""brands"",""type"":""table"",""schema"":""public"",""fkey_name"":""brands_organization_id_fkey"",""fkey_columns"":[18]}",unindexed_foreign_keys_public_brands_brands_organization_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.organization_members\` has a foreign key \`organization_members_user_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""organization_members"",""type"":""table"",""schema"":""public"",""fkey_name"":""organization_members_user_id_fkey"",""fkey_columns"":[3]}",unindexed_foreign_keys_public_organization_members_organization_members_user_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.organizations\` has a foreign key \`organizations_owner_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""organizations"",""type"":""table"",""schema"":""public"",""fkey_name"":""organizations_owner_id_fkey"",""fkey_columns"":[6]}",unindexed_foreign_keys_public_organizations_organizations_owner_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.prompt_history\` has a foreign key \`prompt_history_organization_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""prompt_history"",""type"":""table"",""schema"":""public"",""fkey_name"":""prompt_history_organization_id_fkey"",""fkey_columns"":[10]}",unindexed_foreign_keys_public_prompt_history_prompt_history_organization_id_fkey
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`brands_is_active_idx\` on table \`public.brands\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""brands"",""type"":""table"",""schema"":""public""}",unused_index_public_brands_brands_is_active_idx
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`assets_brand_id_idx\` on table \`public.assets\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""assets"",""type"":""table"",""schema"":""public""}",unused_index_public_assets_assets_brand_id_idx
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`assets_created_at_idx\` on table \`public.assets\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""assets"",""type"":""table"",""schema"":""public""}",unused_index_public_assets_assets_created_at_idx
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`prompt_history_brand_id_idx\` on table \`public.prompt_history\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""prompt_history"",""type"":""table"",""schema"":""public""}",unused_index_public_prompt_history_prompt_history_brand_id_idx
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`prompt_history_created_at_idx\` on table \`public.prompt_history\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""prompt_history"",""type"":""table"",""schema"":""public""}",unused_index_public_prompt_history_prompt_history_created_at_idx
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_prompt_batches_user_created\` on table \`public.prompt_batches\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""prompt_batches"",""type"":""table"",""schema"":""public""}",unused_index_public_prompt_batches_idx_prompt_batches_user_created
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_prompt_batches_workspace_id\` on table \`public.prompt_batches\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""prompt_batches"",""type"":""table"",""schema"":""public""}",unused_index_public_prompt_batches_idx_prompt_batches_workspace_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_prompt_batches_performance\` on table \`public.prompt_batches\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""prompt_batches"",""type"":""table"",""schema"":""public""}",unused_index_public_prompt_batches_idx_prompt_batches_performance
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_prompt_batch_analytics_batch\` on table \`public.prompt_batch_analytics\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""prompt_batch_analytics"",""type"":""table"",""schema"":""public""}",unused_index_public_prompt_batch_analytics_idx_prompt_batch_analytics_batch
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_prompt_analytics_prompt_id\` on table \`public.prompt_analytics\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""prompt_analytics"",""type"":""table"",""schema"":""public""}",unused_index_public_prompt_analytics_idx_prompt_analytics_prompt_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_prompt_analytics_user_id\` on table \`public.prompt_analytics\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""prompt_analytics"",""type"":""table"",""schema"":""public""}",unused_index_public_prompt_analytics_idx_prompt_analytics_user_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_prompt_analytics_workspace_id\` on table \`public.prompt_analytics\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""prompt_analytics"",""type"":""table"",""schema"":""public""}",unused_index_public_prompt_analytics_idx_prompt_analytics_workspace_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_dna_versions_brand_id\` on table \`public.dna_versions\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""dna_versions"",""type"":""table"",""schema"":""public""}",unused_index_public_dna_versions_idx_dna_versions_brand_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_dna_versions_created_at\` on table \`public.dna_versions\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""dna_versions"",""type"":""table"",""schema"":""public""}",unused_index_public_dna_versions_idx_dna_versions_created_at
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_dna_versions_current\` on table \`public.dna_versions\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""dna_versions"",""type"":""table"",""schema"":""public""}",unused_index_public_dna_versions_idx_dna_versions_current
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_dna_versions_version\` on table \`public.dna_versions\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""dna_versions"",""type"":""table"",""schema"":""public""}",unused_index_public_dna_versions_idx_dna_versions_version
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_dna_branches_brand_id\` on table \`public.dna_branches\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""dna_branches"",""type"":""table"",""schema"":""public""}",unused_index_public_dna_branches_idx_dna_branches_brand_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_dna_branches_active\` on table \`public.dna_branches\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""dna_branches"",""type"":""table"",""schema"":""public""}",unused_index_public_dna_branches_idx_dna_branches_active
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_dna_branches_purpose\` on table \`public.dna_branches\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""dna_branches"",""type"":""table"",""schema"":""public""}",unused_index_public_dna_branches_idx_dna_branches_purpose
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_dna_merges_brand_id\` on table \`public.dna_merges\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""dna_merges"",""type"":""table"",""schema"":""public""}",unused_index_public_dna_merges_idx_dna_merges_brand_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_dna_merges_merged_at\` on table \`public.dna_merges\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""dna_merges"",""type"":""table"",""schema"":""public""}",unused_index_public_dna_merges_idx_dna_merges_merged_at
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_dna_version_analytics_version_id\` on table \`public.dna_version_analytics\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""dna_version_analytics"",""type"":""table"",""schema"":""public""}",unused_index_public_dna_version_analytics_idx_dna_version_analytics_version_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_dna_version_analytics_calculated_at\` on table \`public.dna_version_analytics\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""dna_version_analytics"",""type"":""table"",""schema"":""public""}",unused_index_public_dna_version_analytics_idx_dna_version_analytics_calculated_at
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_dna_export_history_version_id\` on table \`public.dna_export_history\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""dna_export_history"",""type"":""table"",""schema"":""public""}",unused_index_public_dna_export_history_idx_dna_export_history_version_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_dna_export_history_exported_at\` on table \`public.dna_export_history\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""dna_export_history"",""type"":""table"",""schema"":""public""}",unused_index_public_dna_export_history_idx_dna_export_history_exported_at
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_dna_version_comments_version_id\` on table \`public.dna_version_comments\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""dna_version_comments"",""type"":""table"",""schema"":""public""}",unused_index_public_dna_version_comments_idx_dna_version_comments_version_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_dna_version_comments_created_at\` on table \`public.dna_version_comments\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""dna_version_comments"",""type"":""table"",""schema"":""public""}",unused_index_public_dna_version_comments_idx_dna_version_comments_created_at
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_dna_version_tests_version_id\` on table \`public.dna_version_tests\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""dna_version_tests"",""type"":""table"",""schema"":""public""}",unused_index_public_dna_version_tests_idx_dna_version_tests_version_id
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_dna_version_tests_test_type\` on table \`public.dna_version_tests\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""dna_version_tests"",""type"":""table"",""schema"":""public""}",unused_index_public_dna_version_tests_idx_dna_version_tests_test_type
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_dna_version_tests_status\` on table \`public.dna_version_tests\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""dna_version_tests"",""type"":""table"",""schema"":""public""}",unused_index_public_dna_version_tests_idx_dna_version_tests_status
